"","Treatment","DaysHtoP","DaysPtoE","Pupate.ok","Eclose.ok","Mass.adult","Surv.eclose","Population","Type"
"104",30,10,NA,"Yes","",NA,"No","NC","Larval"
"105",30,10,NA,"Yes","",NA,"No","NC","Larval"
"106",30,10,NA,"Yes","",NA,"No","NC","Larval"
"107",26,12,NA,"Yes","",NA,"No","NC","Larval"
"108",26,12,NA,"Yes","",NA,"No","NC","Larval"
"109",30,10,NA,"Yes","",NA,"No","NC","Larval"
"110",30,10,NA,"Yes","",NA,"No","NC","Larval"
"111",30,10,NA,"Yes","",NA,"No","NC","Larval"
"112",30,11,NA,"Yes","",NA,"No","NC","Larval"
"113",26,11,NA,"Yes","",NA,"No","NC","Larval"
"114",26,11,NA,"Yes","",NA,"No","NC","Larval"
"115",26,12,NA,"Yes","",NA,"No","NC","Larval"
"116",26,11,NA,"Yes","",NA,"No","NC","Larval"
"117",26,11,NA,"Yes","",NA,"No","NC","Larval"
"118",26,11,NA,"Yes","",NA,"No","NC","Larval"
"119",34,14,NA,"Yes","",NA,"No","NC","Larval"
"120",34,15,NA,"Yes","",NA,"No","NC","Larval"
"121",34,14,NA,"Yes","",NA,"No","NC","Larval"
"122",30,11,NA,"Yes","",NA,"No","NC","Larval"
"123",30,11,NA,"Yes","",NA,"No","NC","Larval"
"124",21,20,NA,"Yes","",NA,"No","NC","Larval"
"125",21,20,NA,"Yes","",NA,"No","NC","Larval"
"126",34,15,NA,"Yes","",NA,"No","NC","Larval"
"127",34,14,NA,"Yes","",NA,"No","NC","Larval"
"128",34,13,NA,"Yes","",NA,"No","NC","Larval"
"129",34,16,NA,"Yes","",NA,"No","NC","Larval"
"130",30,12,NA,"Yes","",NA,"No","NC","Larval"
"131",30,12,NA,"Yes","",NA,"No","NC","Larval"
"132",30,11,NA,"Yes","",NA,"No","NC","Larval"
"133",30,10,NA,"Yes","",NA,"No","NC","Larval"
"134",30,9,NA,"Yes","",NA,"No","NC","Larval"
"135",21,21,NA,"Yes","",NA,"No","NC","Larval"
"136",30,12,NA,"Yes","",NA,"No","NC","Larval"
"137",30,13,NA,"Yes","",NA,"No","NC","Larval"
"138",30,13,NA,"Yes","",NA,"No","NC","Larval"
"139",30,11,NA,"Yes","",NA,"No","NC","Larval"
"140",30,12,NA,"Yes","",NA,"No","NC","Larval"
"141",30,12,NA,"Yes","",NA,"No","NC","Larval"
"142",30,12,NA,"Yes","",NA,"No","NC","Larval"
"143",34,14,NA,"Yes","",NA,"No","NC","Larval"
"144",34,14,NA,"Yes","",NA,"No","NC","Larval"
"145",34,13,NA,"Yes","",NA,"No","NC","Larval"
"146",34,14,NA,"Yes","",NA,"No","NC","Larval"
"147",34,14,NA,"Yes","",NA,"No","NC","Larval"
"148",34,14,NA,"Yes","",NA,"No","NC","Larval"
"149",26,12,NA,"Yes","",NA,"No","NC","Larval"
"150",21,19,NA,"Yes","",NA,"No","NC","Larval"
"151",16,38,NA,"Yes","",NA,"No","NC","Larval"
"152",30,10,17,"Yes","Yes","88.2","Yes","NC","Larval"
"153",30,11,18,"Yes","Yes","124.4","Yes","NC","Larval"
"154",30,10,16,"Yes","No","78.6","Yes","NC","Larval"
"155",30,10,16,"Yes","Yes","79.6","Yes","NC","Larval"
"156",30,11,18,"Yes","No","107.8","Yes","NC","Larval"
"157",30,11,18,"Yes","Yes","104.5","Yes","NC","Larval"
"158",26,12,18,"Yes","Yes","138.3","Yes","NC","Larval"
"159",26,12,19,"Yes","Yes","99.8","Yes","NC","Larval"
"160",26,12,18,"Yes","Yes","106.7","Yes","NC","Larval"
"161",26,12,18,"Yes","Yes","98.2","Yes","NC","Larval"
"162",26,12,19,"Yes","Yes","105.8","Yes","NC","Larval"
"163",26,12,19,"Yes","Yes","96.7","Yes","NC","Larval"
"164",30,10,16,"Yes","Yes","122.5","Yes","NC","Larval"
"165",30,10,17,"Yes","Yes","74.8","Yes","NC","Larval"
"166",30,11,18,"Yes","Yes","100.7","Yes","NC","Larval"
"167",30,10,16,"Yes","Yes","87","Yes","NC","Larval"
"168",30,11,17,"Yes","Yes","105.9","Yes","NC","Larval"
"169",30,11,17,"Yes","No","171.4","Yes","NC","Larval"
"170",30,11,17,"Yes","Yes","104.5","Yes","NC","Larval"
"171",30,10,17,"Yes","Yes","78.6","Yes","NC","Larval"
"172",30,9,15,"Yes","No","102.7","Yes","NC","Larval"
"173",26,12,19,"Yes","Yes","85.9","Yes","NC","Larval"
"174",26,13,20,"Yes","Yes","127","Yes","NC","Larval"
"175",26,10,17,"Yes","Yes","91.7","Yes","NC","Larval"
"176",26,12,19,"Yes","No","202.1","Yes","NC","Larval"
"177",26,12,19,"Yes","Yes","108.5","Yes","NC","Larval"
"178",26,11,18,"Yes","No","141.1","Yes","NC","Larval"
"179",26,12,19,"Yes","Yes","102.5","Yes","NC","Larval"
"180",26,12,19,"Yes","Yes","82.5","Yes","NC","Larval"
"181",26,13,20,"Yes","No","137.2","Yes","NC","Larval"
"182",26,13,20,"Yes","No","103.7","Yes","NC","Larval"
"183",30,10,17,"Yes","No","205.3","Yes","NC","Larval"
"184",30,11,17,"Yes","Yes","85.2","Yes","NC","Larval"
"185",30,10,16,"Yes","No","119.6","Yes","NC","Larval"
"186",30,10,16,"Yes","No","154.3","Yes","NC","Larval"
"187",26,11,18,"Yes","Yes","123.3","Yes","NC","Larval"
"188",26,12,22,"Yes","No","160.5","Yes","NC","Larval"
"189",26,13,20,"Yes","Yes","147","Yes","NC","Larval"
"190",26,13,20,"Yes","Yes","106.9","Yes","NC","Larval"
"191",30,11,18,"Yes","No","176.2","Yes","NC","Larval"
"192",30,10,16,"Yes","Yes","92.1","Yes","NC","Larval"
"193",30,10,23,"Yes","No","57.1","Yes","NC","Larval"
"194",26,18,25,"Yes","Yes","59.8","Yes","NC","Larval"
"195",26,13,20,"Yes","No","101.4","Yes","NC","Larval"
"196",30,10,22,"Yes","No","64.6","Yes","NC","Larval"
"197",30,10,22,"Yes","No","32.5","Yes","NC","Larval"
